Price,Size
75760.0,0.001
75750.0,0.112
75500.0,0.214
75453.1,0.236
75372.4,0.001
75760.0,0.001
75750.0,0.311
75500.0,0.302
75453.1,0.236
75372.4,0.001
75760.0,0.001
75750.0,0.311
75500.0,0.302
75453.1,0.236
75372.4,0.001
75932.2,0.001
75922.2,0.009
75776.2,0.001
75773.6,0.026
75757.3,0.001
75932.2,0.001
75922.2,0.009
75776.2,0.001
75773.6,0.026
75757.3,0.001
